"","X","id","source","year","company","capital","office","loc","lon","lat","yinc","locinc","role","simpname","lastname.x","firstname.x","middlename.x","edu","text","lastname.y","firstname.y","middlename.y","prof"
"33",8402,"amm8402","amm",1907,"Mazapil Copper Company Limited. Saltillo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Smelting Plant, embracing 3 Blast Furnaces. 750 men.",NA,NA,NA,NA
"34",8642,"amm8642","amm",1907,"San Jacinto Mining Company. Pannco de Coronado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Jose de Banderos Group. Conejos.",NA,NA,NA,NA
"35",8852,"amm8852","amm",1907,"Balas Valley Company. San Nicolas Del Oro.",NA,NA,NA,NA,NA,NA,NA,"Mgr","yrigoyen, p","yrigoyen","pedro",NA,NA,"Pedro Yrigoyen, Mgr. Gold. Water. lf> Stamps. 200 men.","yrigoyen","pedro",NA,"Mgr"
"36",8863,"amm8863","amm",1907,"Balas Valley Company. San Nicolas Del Oro.",NA,NA,NA,NA,NA,NA,NA,"Mgr","lewis, j","lewis","jose",NA,NA,"Jose Lewis, Gen. Mgr. Quicksilver. Steam. 250 ton Furnace. 500 men.","lewis","jose",NA,"Mgr"
"37",8868,"amm8868","amm",1907,"Balas Valley Company. San Nicolas Del Oro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ver & Copper. Steam & Water. 25 ton Lixiviation Plant. 50 men.",NA,NA,NA,NA
"38",9332,"amm9332","amm",1907,"(American Metal Co., New York.) F. F. Salisbury, Mgr. Minas Viejas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iron. 350 men.",NA,NA,NA,NA
"39",9564,"amm9564","amm",1907,"American Smelters Securities Company. Matehuala.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compania Minera La Nacional. El Salado.",NA,NA,NA,NA
"40",9727,"amm9727","amm",1907,"Providencia Mines Company. Cosala.",NA,NA,NA,NA,NA,NA,NA,"Mgr","hoag, e h","hoag","edward","h",NA,"Edward H. Hoag, Mgr. La Franca Mine. Silver & Gold. Steam. 10","hndcjson","edward","h","Mgr"
"41",9806,"amm9806","amm",1907,"Colorado Mining Company. Moctezuma.",NA,NA,NA,NA,NA,NA,NA,"Supt","harris, e f","harris","e","f",NA,"E. F. Harris, Supt. Promontorio Mine. Silver & Gold. Steam. 20","harris","ernest",NA,"Supt"
"42",9837,"amm9837","amm",1907,"Copete Mining Company. £f Copete.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copete Mining Company. £f Copete.",NA,NA,NA,NA
"43",9876,"amm9876","amm",1907,"Greene Cananea Copper Company. Cananea.",NA,"Broad St, New York","new york ",-74.0059728,40.7127753,NA,NA,NA,NA,NA,NA,NA,NA,"Office, 24 Broad St., New York. Amalgamation of the Cananea Consoli",NA,NA,NA,NA
"44",10276,"amm10276","amm",1907,"Alabama Hydraulic Company.",NA,NA,"alabama ",-86.902298,32.3182314,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama Hydraulic Company.",NA,NA,NA,NA
"45",10505,"amm10505","amm",1907,"Le Roi Mining Company Limited.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Le Roi Mining Company Limited.",NA,NA,NA,NA
"46",10545,"amm10545","amm",1907,"Monitor & Ajax Fraction Limited. Three Forks and Bosberry.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monitor & Ajax Fraction Limited. Three Forks and Bosberry.",NA,NA,NA,NA
"47",11214,"amm11214","amm",1907,"Oregon Coal & Navigation Company. Marshfield.",NA,"San Francisco C","san francisco ",-122.4194155,37.7749295,NA,NA,"Mgr","goodall, c m","goodall","c","m",NA,"Office, San Francisco; C. M. Goodall, Mgr.; P. Hennessey, Supt. Steam.","gooch","c",NA,"Mgr"
"48",11635,"amm11635","amm",1911,"TAYLOR CREEK DITCH CO., NOME, ALASKA. B.",NA,NA,"alaska ",-149.4936733,64.2008413,NA,NA,NA,NA,NA,NA,NA,NA,"TAYLOR CREEK DITCH CO., NOME, ALASKA. B.",NA,NA,NA,NA
"49",11787,"amm11787","amm",1911,"BARNEY COPPER CO., GLOBE, GILA CO. C.",NA,NA,NA,NA,NA,NA,NA,"Manager","coplen, j d","coplen","john","d",NA,"John D. Coplen, Manager. Copper. Shafts. Gasolene. Developing.","copeland","john","d","Manager"
"50",12485,"amm12485","amm",1911,"NEW YORK-ARIZONA GOLD & COPPER CO., MORENCI, GRAHAM CO. D.",NA,NA,"new york ",-74.0059728,40.7127753,NA,NA,NA,NA,NA,NA,NA,NA,"NEW YORK-ARIZONA GOLD & COPPER CO., MORENCI, GRAHAM CO. D.",NA,NA,NA,NA
"51",12520,"amm12520","amm",1911,"ORIENTAL MINING CO., POLAND, YAVAPAI COUNTY. F.",NA,NA,"poland ",19.145136,51.919438,NA,NA,NA,NA,NA,NA,NA,NA,"ORIENTAL MINING CO., POLAND, YAVAPAI COUNTY. F.",NA,NA,NA,NA
