"id","volume","year","month","day","page","ppdf","term","loc","org","type","author","method","notes1","notes2","patent","lon","lat","name","lastname","firstname","middlename","simpname","source"
3863,60,1895,7,6,5,30,"Cyanid",NA,NA,"article","A. S. Cushman","ctrlf","Using cyanide (seperation of elements such as copper)",NA,NA,NA,NA,"A S Cushman","cushman","a","s","cushman, a s","cu"
3882,61,1896,2,22,180,189,"Cyanid",NA,NA,"article","H. T. Bayliss","ctrlf","Usage of cyanide (cyanide of potassium)",NA,NA,NA,NA,"H T Bayliss","bayliss","h","t","bayliss, h t","myb"
3891,61,1896,6,27,613,622,"Cyanid",NA,NA,"article","W. J Sharwood","ctrlf","Using the cyanide process/experimenting with the cyanide process",NA,NA,NA,NA,"W J Sharwood","sharwood","w","j","sharwood, w j",NA
3932,66,1898,9,24,363,470,"cyanid",NA,NA,"letter","John Longmaid","ctrlf","methods, experiments","cyanide poisoning",NA,NA,NA,"John Longmaid","longmaid","john",NA,"longmaid, j","myb"
3943,66,1898,10,29,512,649,"cyanid",NA,NA,"article","W. A Konemann","ctrlf","experts, methods","methods that may extract more gold with cyanide method,",NA,NA,NA,"W A Konemann","konemann","w","a","konemann, w a",NA
3988,67,1899,6,24,743,664,"cyanid",NA,NA,"article","Victor Lenher","ctrlf","methods, experiments","Article on Metallic Tellrium",NA,NA,NA,"Victor Lenher","lenher","victor",NA,"lenher, v",NA
4056,69,1900,3,17,318,347,"cyanid",NA,NA,"article","E. H Messiter","ctrlf","experiments","a furnace tapping hood",NA,NA,NA,"E H Messiter","messiter","e","h","messiter, e h","cu"
4064,69,1900,4,28,501,530,"cyanid",NA,NA,"article","E. E Lungwitz","ctrlf","experiment","lixiviation of gold deposits by vegetation",NA,NA,NA,"E E Lungwitz","lungwitz","e","e","lungwitz, e e","frei"
4194,73,1902,4,5,486,525,"cyanid",NA,"Green & Co","article","Arnold Lupton","ctrlf","methods","a book about cyanide",NA,NA,NA,"Arnold Lupton","lupton","arnold",NA,"lupton, a","myb"
4265,75,1903,3,21,446,479,"Cyanid",NA,NA,"article","Albert Arents","ctrlf","Methods","Test for cyanide solution",NA,NA,NA,"Albert Arents","arents","albert",NA,"arents, a","taime"
4389,85,1908,2,22,422,455,"cyanid",NA,NA,"article","Georg Hohagen","ctrlf","methods, experiments","Assay of Zinc",NA,NA,NA,"Georg Hohagen","hohagen","georg",NA,"hohagen, g","taime"
4410,85,1908,4,4,743,776,"cyanid",NA,"Montgomery Shoshone","news","P. E Van Saun","ctrlf","in use","equipments",NA,NA,NA,"P E Van Saun","saun","p","e","saun, p e",NA
4426,85,1908,5,2,889,922,"cyanid",NA,"New Kleinfontein","article","Edward J. Way","ctrlf","methods","Conveyer system, long article",NA,NA,NA,"Edward J Way","way","edward","j","way, e j",NA
