"","loc","lon","lat"
"33","in the indian telegraph department director general s oflice",NA,NA
"35","mining engineer in united states of columbia",-110.9531671,32.2333222
"37","great cnrzrzrr n street w st bnouonron manchester",-74.40836,40.9135622
"39","the coal miners safety indicator",NA,NA
"40","stratford gaovrz putney loxnon sw and royal college or",-0.0081304,51.5471806
"41","science lonpon sw",-0.1745235,51.4978095
"43","s arm",NA,NA
"44","granvu e park lew si am london se",-0.1657303,51.5072682
"46","long s rree r lower bnouci r on lvlanchi ister",NA,NA
"48","fewsron otley yorkshire",-1.7250824,53.9989324
"50","c c wagner esq caylloma snver mining co l rd peru",-71.7707989,-15.1895112
"53","sussi zx roan sou ri or r lancashire",-71.4306524,41.8499704
"54","assistant in geology at the royal college of science",-0.1748772,51.4987997
"55","tower house strawberry hill twickenham",-0.334353,51.438794
"56","lichfield street ham y staffordshire",-1.831672,52.681602
"57","sometime on mineral surveys in north america",-105.2551187,54.5259614
"60","change alley sheffield",-1.470085,53.381129
"61","cqbham park gravesend",0.3670718,51.4404179
"62","steel lnst p",NA,NA
"65","inspector s office scienc and art department south",NA,NA
"67","reds aw street derby",-1.4907551,52.9315995
"71","govern v ent board w te all london sw",-0.1277583,51.5073509
"72","manufacturing chemist",-93.5758611,41.8860344
"73","westm nster chambers v ctor a street london sw",-0.1595389,51.5145337
"74","metallurgist and mining engineer",-105.221172,39.752439
"76","n cel transvaal sar",NA,NA
"77","sometime chemist to messrs whites gunpowder works",NA,NA
"81","po box johannesburg sar",28.0473051,-26.2041028
"82","formerly secretary royal institution",-0.1423075,51.5095842
"84","permanent address c o messrs barn and austen sor c",NA,NA
"85","tors wat no street lonoon ec",-0.1277583,51.5073509
"87","qua x s gardens surr y",-122.8490125,49.1913466
"88","published in the pharmaceutical journal",NA,NA
"89","b j l i",NA,NA
"90","formerly at the hodbarrow iron mines died before",-3.2654532,54.1999859
"91","belmont kelso nb",-73.7224765,40.7150336
"93","royal mint melbourne victoria",144.9568638,-37.8122632
"99","i bax",NA,NA
"100","i ma sis road keigi iley yorkshire",-1.9163366,53.8604172
"101","malsxs road keighley yorkshire",-1.9163366,53.8604172
"102","royal college or science london sw",-0.1748772,51.4987997
"103","whites view manningham bradford",-1.7737834,53.8015597
"104","royal mint london e",-0.0732134,51.5093513
"105","appointed to the geological survey of egypt",NA,NA
"107","indian civil service retired",NA,NA
"110","the gold quartz deposits of pahang",101.7855496,4.2587668
"113","field sourn rocx ferry cheshire",-2.991614,48.043505
"114","souru rock ferry cheshire",NA,NA
"115","university club suffolk street pall mall lounou sw",-0.1506942,51.5072137
"116","silver street manningland",NA,NA
"117","c o c f broad iead esq north feat ierstone near pontefract",-1.308648,53.691688
"118","see addendum at end of letter b",NA,NA
"120","sometime analytical chemist and manager of chemical works",NA,NA
"121","park village east london nw",-0.1437761,51.5339284
"123","parkfield wonxs stockton on tees",-1.3139008,54.5585363
"124","consulting metallurgist and mining engineer sydney the laboratory i o connell street sydney new squtii wales",151.2092955,-33.8688197
"125","po box sydney",151.2041138,-33.8739373
"131","the laboratory mining school cameorne and basse r road",NA,NA
"132","camborne cornwa i",-5.2947749,50.21277
"134","physician died previous to",NA,NA
"137","canterbury co teoe curusr church new zealand",171.1637245,-43.7542275
"138","wes rbury lodge brenrwood essex",0.3071749,51.620475
"140","harrington gardens south",-0.1843942,51.492978
"141","findhorn foam",-3.6075877,57.659165
"142","c mxzssas isaac brandon br s panama republic columbia",NA,NA
"143","scholarship at oxford",-1.2621561,51.7581102
