source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1868,2574,"Stallknecht, Friedrich. New York, V. St. v. A.",Stallknecht,Friedrich,"Stallknecht, F",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2575,"Stiebitz, Gustav. Wien, Osterreich.",Stiebitz,Gustav,"Stiebitz, G",austria,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2576,"Sweeny, Louis Le Baume. Peoria, Illinois.",Sweeny,Louis Le Baume,"Sweeny, L  L",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2577,"Uznanski, Adam Ritter. Szaflary, Galizien.",Uznanski,Adam Ritter,"Uznanski, A  R",poland,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2578,"Watson, Alexander Maitland. New York, V. St. v. A.",Watson,Alexander Maitland,"Watson, A  M",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2579,"Zimmermann, Jacob. Botzberg, Schweiz.",Zimmermann,Jacob,"Zimmermann, J",switzerland,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2580,"Andree, Theodor. Wittkowitz, Mahren. Dipl.Ing.",Andree,Theodor,"Andree, T",czech republic,Engineer,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2581,"Benedicks, Gustav. Stockholm, Schweden.",Benedicks,Gustav,"Benedicks, G",sweden,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2582,"Bliimich, Wilhelm Richard. Governitz b. GroBenhain, Sachsen.",Bliimich,Wilhelm Richard,"Bliimich, W  R",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2583,"Bogart, Adrian Levingston. New York, V. St. v. A. ",Bogart,Adrian Levingston,"Bogart, A  L",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1869,2584,"Chapman, Gerard Cogan. London, England.",Chapman,Gerard Cogan,"Chapman, G  C",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
