loc,lon,lat
castle street edinburgh,-3.2031369,55.9517499
castle street liverpool,-2.9907395,53.4061593
cavendish road st,-63.3896729,46.4892294
cavendish square banker,-0.1457041,51.5164839
caxton street s,153.0114248,-27.4634893
caxtou street b,-0.1351746,51.4985511
cazenove road stamford hill n,-0.0667966,51.5656234
cedars road clapham in a,-0.1498098,51.4640975
chadwell street b,-118.0906789,33.8417444
chalprove road hackney sec,-0.0724376,51.573445
chambers avenue de la bourse,10.2753432,36.8445135
chambers terrace road,-85.1401165,41.0982404
chancery lane clerk,-89.2911006,31.3279296
chancery lane london,-0.1120214,51.516154
chancery lane station chambers w,-0.1120214,51.516154
chancery lane w,-79.6336345,43.4747151
chapel street mayfair w,-0.147806,51.5116269
charles fakeman. drapers gardens k.c.,-94.5785667,39.0997265
charles street mayfair w,-0.1473656,51.5077993
charlotte,-80.8431267,35.2270869
charlrtte square edinburgh,-3.2072783,55.9523535
charlwood street belgrnve road,-0.138295,51.4904262
charsley road cutford,-0.0193263,51.4381469
charters towers,146.2601362,-20.0769637
chelsham road s,-0.1303596,51.4677044
cherokee,-83.3205859,35.4770574
chester road upton park,0.0421547,51.5402448
chester square s,-71.0794405,42.3380881
chester street ec,-88.7930706,35.6117689
chester street s,-76.5871651,39.2879047
chesterfield road east dulwich s,-0.0763561,51.4575702
chicago,-87.6297982,41.8781136
chichester road croydon,-0.0849175,51.3703899
chiefly in the wendron district,-5.2513315,50.1312962
chihuahua,-105.7820674,28.4854458
chile,-71.542969,-35.675147
chilian,-71.542969,-35.675147
chillagoe,144.5187263,-17.1525138
chilton,-88.1628785,44.0288803
chnrch road de beauvoir square,-0.0801683,51.5408154
christchurch road strcatham s,-0.1157048,51.4426818
chrome,-95.9674474,36.1738537
church lane tavistock were authorised,-4.1454315,50.5496377
church road battersea s,-0.1738658,51.4774897
church road isitngton clerk share,-0.09118,51.5439655
church road n,-77.6854117,37.1904677
church street bermondsey share,-0.0818488,51.5007926
church street cape town,18.41665,-33.921372
church street danven lancashire,-2.7044052,53.7632254
church street ossett,-1.5828815,53.684963
church street pietcrmaritsburg natal,30.3816623,-29.599391
church street pietermaritzburg nat,30.3913739,-29.5915327
church street pietermaritzburg natal,30.3816623,-29.599391
church street pieterniaritzburg natal,30.3816623,-29.599391
church street potchefstroom south africa,27.097146,-26.712264
churchtield road ealing,-0.3169112,51.5097635
ciiimon street no,-72.1550843,43.3784382
cincinnati,-84.5120196,39.1031182
clanres street w,-121.9639663,36.9783585
clapham road clerk share,-0.1214113,51.4731984
clapham road s,-0.1214113,51.4731984
clarcmont road surbiton is a,-0.3040788,51.395827
clare road forest gate,0.0191561,51.5526685
claremont square x,-0.1103429,51.5312201
clarence street sydne n,151.2051961,-33.8680816
clarges street w,-0.145182,51.5069173
clark street stepney shorthand writer,-0.0491574,51.5222254
clements lane b,-76.7135248,39.2100446
clements lane e,-76.7135248,39.2100446
clements lane ec and n,-0.0866523,51.5118477
clermont,-81.7728543,28.5494447
cleveland,-81.6943605,41.49932
clifford road south norwood accountant,-0.0738323,51.3999502
clifton,-74.1637553,40.8584328
climend terrace blackburn,-2.487529,53.748575
clinton,-93.7782689,38.3686324
clippens lane works at straiton,-3.1665989,55.8842738
clissold road stoke newington shares,-0.0847894,51.5587622
close proximity to buluwayo,28.626479,-20.1325066
close to the well,-97.2648117,37.5465604
cloudesley road islington shares,-0.1095994,51.5373377
cmun road aberllare glam,-3.451816,51.716154
cnpthali avenue e,-0.087703,51.5165057
cnrey street lincoln s inn,-0.1134758,51.5149732
coahuila,-101.7068294,27.058676
cockspur street charing cross shares,-0.1288564,51.5074827
