"","id","year","company","capital","minerals","owns","owned","doutput","technology","incor","loc","text","lastname","firstname","middlename","prof"
"245","mmm1296",1926,"cia. min. natividad y an. s. a.",NA,NA,NA,NA,NA,NA,"organized, in oaxaca ., ","oaxaca","organized, in oaxaca ., ",NA,NA,NA,NA
"246","mmm1299",1926,"cia. min. natividad y an. s. a.",NA,NA,NA,NA,NA,NA,NA,"de juarez oax","p. o., ixtlan de juarez, oax., ",NA,NA,NA,NA
"247","mmm1315",1926,"minas la leona y jucamaya",NA,NA,NA,NA,NA,NA,NA,"o oaxaca oax","p. o., oaxaca, oax., ",NA,NA,NA,NA
"248","mmm1364",1926,"cia. minera sucesora nueva paz y anexas s. a.",NA,NA,"this company owns the santa maria, esmeralda & santa fe mines all located at la paz, s. l. p. see also: minera sucesora nueva paz y an., s. a. at matehuala, s. l. p.",NA,NA,NA,NA,"san luis potosi","this company owns the santa maria, esmeralda & santa fe mines all located at la paz, s. l. p. see also: minera sucesora nueva paz y an., s. a. at matehuala, s. l. p.",NA,NA,NA,NA
"249","mmm1372",1926,"potosi rio verde railway co.",NA,NA,"c/o a. s. & r. co. see special information (end of mining list.)",NA,NA,NA,NA,"san luis potosi","c/o a. s. & r. co. see special information (end of mining list.)",NA,NA,NA,NA
"250","mmm1374",1926,"the international ore smelting co.",NA,NA,NA,NA,NA,NA,NA,"s l p","local office, el salado, s. l. p., ",NA,NA,NA,NA
"251","mmm1376",1926,"the international ore smelting co.",NA,NA,NA,NA,NA,NA,NA,"officers personnel","officers personnel, ",NA,NA,NA,NA
"252","mmm1385",1926,"the republican mining metal co.",NA,NA,"this co. is subsidiary of cookson co. ltd. London, england",NA,NA,NA,NA,"san luis potosi","this co. is subsidiary of cookson co. ltd. London, england",NA,NA,NA,NA
"253","mmm1388",1926,"the republican mining metal co.",NA,NA,NA,NA,NA,NA,NA,"s l p","purch. agt., r. g. winship, wadley, s. l. p.","winship","r",NA,"purch. agt."
"254","mmm1397",1926,"cia. minera de panuco",NA,NA,NA,NA,NA,NA,NA,"mazatlan sin","manager, cesario puente, mazatlan, sin.","przybylski","cesario",NA,"manager"
"255","mmm1409",1926,"mexican candelaria co. s. a.",NA,"silver gold.",NA,NA,NA,NA,NA,"sinaloa","silver gold.",NA,NA,NA,NA
"256","mmm1417",1926,"mexican candelaria co. s. a.",NA,NA,NA,NA,NA,NA,NA,"munro grl foreman","rosario mine, d. m. munro, grl foreman, ",NA,NA,NA,NA
"257","mmm1420",1926,"mexican candelaria co. s. a.",NA,NA,NA,NA,"200 metric tons.",NA,NA,"sinaloa","daily output, 200 metric tons., ",NA,NA,NA,NA
"258","mmm1422",1926,"mexican candelaria co. s. a.",NA,NA,"see also san dimas, dgo. Unit",NA,NA,NA,NA,"sinaloa","see also san dimas, dgo. Unit","cenedella","inocente",NA,"master mech."
"259","mmm1426",1926,"minas el tajo s. a.",NA,NA,NA,NA,NA,NA,NA,"rosario sin","mill location, rosario, sin., ",NA,NA,NA,NA
"260","mmm1456",1926,"nueva compañia de san vicente",NA,NA,NA,NA,NA,NA,NA,"san vicente sin","mech. eng., jesus anaya, san vicente, sin.","anaon","jesus",NA,"mech. eng."
"261","mmm1459",1926,"the potrero co.",NA,NA,NA,NA,NA,NA,NA,"magistral sin","location, magistral, sin., ",NA,NA,NA,NA
"262","mmm1466",1926,"the potrero co.",NA,NA,NA,NA,NA,NA,NA,"los angeles calif","president, lyttleton price, los angeles, calif.","price","lyttleton","atest","president"
