id,type,year,text
8533,person,1911,"trask, chas. j, norton sob hamdon, somerset."
8534,cia,1911,ham hill and dmilting stone ltd
8535,person,1911,"treloar, peter qoentrell, box lis, roodepoort, transvaal."
8536,cia,1911,roodepoort united main reef gold mining ltd
8537,person,1911,"trestrail, nicholas. redruth, cornwall."
8538,cia,1911,"am brea and tmcroft mines, ltd"
8539,cia,1911,"phoenix minescornwall , ltd"
8540,person,1911,"trewurthajames, w. h, victoria, british columbia."
8541,cia,1911,tyee copper ltd
8542,person,1911,"trotman, h. l, singareni collieries, deccan, india."
8543,cia,1911,"hyderal a ldeccanco, ltd"
8544,person,1911,"trude, f. b, t. and g. buildings. perth, w.a."
8545,cia,1911,"croesus south gold m nes, ltd"
8546,cia,1911,"esperanza westralia, ltd"
8547,cia,1911,"ingliston extended gold mines, ltd"
8548,person,1911,"tsumeb, dr. heimann, otavi mines, otavi, german s.w. africa"
8549,cia,1911,otavi mines and haihvay ltd
8550,person,1911,"turnbull, j. j, jherriah collieries, bengal."
8551,cia,1911,east indian coal ltd
8552,person,1911,"turner, a. g, axim, gold coast colony."
8553,cia,1911,fura gold dredging ltd
8554,cia,1911,"gold estates of australia, ltd"
8555,person,1911,"u ran, john, blue spur, otago, new zea and."
8556,cia,1911,blue spur and gabriel s gully consolidated gold ltd
8557,person,1911,"vail, h. e, kalgoorlie, western australia."
8558,cia,1911,"lake view and star, ltd"
8559,person,1911,"valentine, w, levsdorp, transvaal."
8560,cia,1911,"sutherland gold mines, ltd"
8561,person,1911,"van liew, w. r, dzansoul, caucasus, russia."
8562,cia,1911,t auca us copper ltd
8563,person,1911,"vaudeau, h. a, south comhock mine, near zeehan tasmalh."
8564,cia,1911,"broken hill proprietary block , ltd"
8565,person,1911,"vaughan, william s."
8566,cia,1911,"vautwina,lter scott, ltd"
8567,cia,1911,"ferrobamba, ltd"
8568,person,1911,"vigeoa, e. c, balisbuy, rholesia."
8569,person,1911,"united rhodesia gold fields, l d."
8570,person,1911,"mixing and consulting engineers, frc."
8571,person,1911,"illiers, c. w, box , johannesburg, transvaal."
8572,cia,1911,african and european investment ltd
8573,person,1911,"vincent, thomas, mount zeehan. tasmania."
8574,cia,1911,"mount zeehantasmaniasilver lead mines, ltd"
8575,cia,1911,"zeeban dundas mines, ltd"
8576,cia,1911,"viteazae,ehan queen, ltd"
8577,person,1911,"paul, muschaca, proviucia de catamarca, argentina."
8578,cia,1911,"capillitas consolidated mineb, ltd"
8579,person,1911,"vivian, j. c.t santa florentine, chilecito, pr ovidencia la rioja, argentina"
8580,cia,1911,"von zfaemleawtisnkai,development ltd. , ltd"
8581,person,1911,"r, engis, belgium."
8582,person,1911,"society anonyme demines et fonderies de zincet de plomb,"
8583,person,1911,"irvainwright, w. e, broken hill, new south wales."
8584,cia,1911,broken hill south silver mining ltd
8585,person,1911,"waldby, james, w. queenton, charters towers, queensland."
8586,cia,1911,band of hope gold mining ltd
8587,person,1911,"walker, j. h."
8588,cia,1911,liersham colliery ltd
8589,person,1911,"wallace, w, athens mine, gwelo, rhodesia."
8590,cia,1911,athens rhodesia development ltd
8591,person,1911,"walshaw, john, gin colliery, astley, lancashire."
8592,cia,1911,"astlev and tvldeslcv collieries, ltd"
8593,person,1911,"walters, d. i, rock colliery, glyn neath, glamorganshire."
8594,cia,1911,"walterrosck, colliery, ltd"
8595,person,1911,"w. h. weuedacht mine, springs, transvaal."
8596,cia,1911,"waltownel,gejd.acht exploration ltd"
8597,cia,1911,"rotherham ilktone collieries, ltd"
8598,person,1911,"walton, j. l arakaka, british guiana."
8599,cia,1911,"british guiana gold mines, ltd"
8600,person,1911,"ward, j. p, boxc, maraisburg, transvaal."
8601,cia,1911,"warda,urora west united gold mining ltd"
8602,person,1911,"osmer bernard, broken hill, new south walts."
8603,cia,1911,"wardb,roken hid south blocks, ltd"
8604,person,1911,"percy, mountain colliery, gorseinon, r.s.o,"
8605,cia,1911,"wardslwaawn,sea navigation collieries, ltd"
8606,person,1911,"w. s, pentwyn colliery, near machen, glamorganshire."
8607,cia,1911,pentwvn black vein collieries ltd
8608,person,1911,"warham, ridley, ashington collieries, near blyth, north uml erland."
8609,cia,1911,ashington coal ltd
8610,person,1911,"warriner, r, box , johannesburg, transvaal."
8611,cia,1911,"crown mines, ltd"
8612,person,1911,"waterman. ernest, princeton, british columbia."
8613,cia,1911,princeton coal and jmnd ltd
8614,person,1911,"waters, thomas, queen cross mine, charters towers, queensland."
8615,cia,1911,"new queen cross gold mine, ltd"
8616,person,1911,"watson, j. g."
8617,cia,1911,"tanganyika concessions, ltd"
8618,person,1911,"w atson, r. b, col ml t, ontario, canada."
8619,cia,1911,la rose consolidated mines ltd
8620,cia,1911,nipissing mines ltd
8621,person,1911,"watson, w. j, ladysmith, british columbia."
8622,cia,1911,tyce copper ltd
8623,person,1911,"watts, john whidborae. box, barbertou, transvaal."
8624,cia,1911,united ivy reef gold mining ltd
8625,person,1911,"way, edward j, boxandjohannesburg transvaal."
8626,cia,1911,"afrikander proprietary gold mines, ltd"
8627,cia,1911,anglo french exploration ltd
8628,cia,1911,"anglo frenchtransvaalnavigation coal estates, ltd"
8629,cia,1911,"aj c.mines, ltd"
8630,cia,1911,"benoni consolidated gold mines, ltd"
8631,cia,1911,"new boksburg gold mines, ltd"
8632,cia,1911,new kleiueontcin ltd
8633,cia,1911,rand klip. ltd
8634,cia,1911,kooiberg minerals development ltd
8635,person,1911,"weatberbe, j, ochotsk, near nikolaievsk, amoor river, eastern siberia."
8636,cia,1911,"orsk goldflelds, ltd"
8637,person,1911,"webb, harry h, box , johannesburg, s.a, and, old jewry, b.c."
8638,cia,1911,"consolidated gold fields of south africa, ltd"
8639,cia,1911,jupiter gold mining ltd
8640,cia,1911,"knight s deep, ltd"
8641,cia,1911,luipaard s vlei estate and gold mining ltd
8642,cia,1911,robinson deep gold mining ltd
8643,cia,1911,"simmer and jack east, ltd"
8644,cia,1911,"simmer and jack proprietary mines, ltd"
8645,cia,1911,"simmer deep, ltd"
8646,cia,1911,"webbsu,bj .n,igel, ltd"
8647,cia,1911,"new axim mines, ltd"
8648,person,1911,"webb, w. m , box, roodepoort, western transvaal."
8649,cia,1911,princess estate gold mining ltd
8650,cia,1911,"roodepoort central deep, ltd"
8651,person,1911,"webber, g. e, box low, johannesburg, transvaal."
8652,cia,1911,"crown mines, ltd"
8653,person,1911,"coji inutd on next ,"
8655,cia,1911,"ferroira deep, ltd"
8656,cia,1911,"gcldeuhuib deep, ltd"
8657,cia,1911,"nourse mines, ltd"
8658,cia,1911,"rand mines, ltd"
8659,cia,1911,"rose deep, ltd"
8660,person,1911,"webber, h. o k, box . johannesburg, transvaal."
8661,person,1911,"compagnie francaise de banque et de mines. wedlake, william. st. austell, cornwall."
8662,cia,1911,"st. austell china clay works, ltd"
8663,person,1911,"weiljuliusco, lothbury, london"
8664,cia,1911,london and rhodesian mining and land ltd
8665,person,1911,"weinburg, e. a, queen street, melbourne, australia."
8666,cia,1911,chillagoe ltd
