source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1904,"albert, h h",,,mining engineer,,new york n y,-74.005973,40.712775,united states of america
taime,1884,"albert, j j",,,,,helena mont,-112.039106,46.589145,united states of america
taime,1892,"albert, j j",,,banker,seligman & meyer,helena mont,-112.039106,46.589145,united states of america
taime,1902,"albert, j j",,,banker,seligman & meyer,ny city,-74.005973,40.712775,united states of america
taime,1905,"aldape garza, j j",,,,,torreon coahuila,-103.406786,25.542844,mexico
taime,1902,"aldasoro, a a",,,student,eni,mexico city,-99.133208,19.432608,mexico
taime,1902,"aldasoro, a a",,,student,eni,mexico city,-99.133208,19.432608,mexico
taime,1912,"alden, h h",,,,,detroit mich,-83.045754,42.331427,united states of america
taime,1884,"alden, p p",,,,,monroeton pa,-76.474045,41.713031,united states of america
taime,1907,"alderman, s s",,,,,benton cal,-118.476509,37.819099,united states of america
taime,1880,"aldrich, t t",,,,pratt mines,jefferson co ala,-86.982429,33.491412,united states of america
taime,1884,"aldrich, t t",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1886,"aldrich, t t",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1892,"aldrich, t t",,,vice president,sloss sheffield steel & iron co,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1902,"aldrich, t t",,,mining engineer,sloss sheffield steel & iron co,bigminghanm,-86.810357,33.518589,united states of america
taime,1902,"aldrich, t t",,,vice president,aldrich mining co,bigminghanm,-86.810357,33.518589,united states of america
taime,1884,"aldrich, w w",,,,,aldrich alabama,-86.891101,33.107619,united states of america
taime,1892,"aldrich, w w",,,president,aldrich mining co,aldrich alabama,-86.891101,33.107619,united states of america
taime,1902,"aldrich, w w",,,president,aldrich mining co,aldrich alabama,-86.891101,33.107619,united states of america
taime,1882,"aldrich, w w",,,,,montevallo alabama,-86.864156,33.100675,united states of america
taime,1892,"aldridge, w w",,,manager,canadian sm. wks.,helena mont,-112.039106,46.589145,united states of america
taime,1902,"aldridge, w w",,,manager,canadian sm. wks.,b.c. canada,-127.647621,53.726668,canada
taime,1882,"alexander, a a",,,,,prescott arizona,-112.468503,34.540024,united states of america
taime,1884,"alexander, a a",,,,,prescott arizona,-112.468503,34.540024,united states of america
taime,1886,"alexander, a a",,,,,san antonio texas.,-98.493628,29.424122,united states of america
taime,1892,"alexander, a a",,,,,san antonio texas.,-98.493628,29.424122,united states of america
taime,1902,"alexander, a a",,,,,san antonio texas.,-98.493628,29.424122,united states of america
taime,1884,"alexander, c c",,,,,maryville mo,-94.872471,40.346102,united states of america
taime,1886,"alexander, c c",,,,,maryville mo,-94.872471,40.346102,united states of america
taime,1892,"alexander, c c",,,metallurgist,,argentine kan.,-94.660535,39.05629,united states of america
taime,1902,"alexander, c c",,,metallurgist,,spearfish so. dak.,-103.85937,44.490817,united states of america
taime,1876,"alexander, f f",,,,passaic chemical co.,newark n j,-74.172367,40.735657,united states of america
taime,1877,"alexander, f f",,,,passaic chemical co.,newark n j,-74.172367,40.735657,united states of america
taime,1880,"alexander, f f",,,,passaic chemical co.,newark n j,-74.172367,40.735657,united states of america
taime,1902,"alexander, g g",,,chemist,,denver colo,-104.990251,39.739236,united states of america
taime,1902,"alexander, h h",,,manager,ruth mines,b.c. canada,-127.647621,53.726668,canada
taime,1873,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1876,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1877,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1880,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1882,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1884,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1886,"alexander, j j",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1892,"alexander, j j",,,,,san antonio texas.,-98.493628,29.424122,united states of america
taime,1902,"alexander, j j",,,,,san antonio texas.,-98.493628,29.424122,united states of america
taime,1899,"alilers, r r",,,,,balaghat mines mysore,80.183829,21.812876,india
taime,1905,"allan, f f",,,,,deseronto ontario,-77.048733,44.195399,canada
taime,1906,"allan, f f",,,,,concepcion del oro zacatecas,-101.418384,24.612823,mexico
taime,1892,"allan, j j",,,manager,mex. g. & s. rec. co,london england,-0.127758,51.507351,united kingdom
taime,1902,"allan, j j",,,manager,mex. g. & s. rec. co,mexico city,-99.133208,19.432608,mexico
taime,1892,"allderdice, t t",,,assistant,national tube co,mckeesport pa,-79.864123,40.347067,united states of america
taime,1902,"allderdice, t t",,,assistant,national tube co,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1892,"allen, a a",,,superintendent,pencoyd iron wks.,pencoyd pa,-75.215458,40.00539,united states of america
