source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1886,"appleton, e e",,,,,ashland nebraska,-96.368316,41.039341,united states of america
taime,1877,"appott, j j",,,,,lake city colorado,-107.315334,38.029997,united states of america
taime,1880,"appott, j j",,,,,lake city colorado,-107.315334,38.029997,united states of america
taime,1882,"appott, j j",,,,,lake city colorado,-107.315334,38.029997,united states of america
taime,1886,"apprich, w w",,,,,aldrich alabama,-86.891101,33.107619,united states of america
taime,1884,"appy, m m",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1886,"appy, m m",,,,,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1876,"arbel, l l",,,,,loire france,-0.979609,47.614699,france
taime,1877,"arbel, l l",france,,,,rive de gier france,4.615349,45.527692,france
taime,1880,"arbel, l l",france,,,,rive de gier loire,4.615349,45.527692,france
taime,1882,"arbel, l l",france,,,,rive de gier loire,4.615349,45.527692,france
taime,1884,"arbel, l l",france,,,,rive de gier loire,4.615349,45.527692,france
taime,1886,"arbel, l l",france,,,,rive de gier loire,4.615349,45.527692,france
taime,1902,"arbel, l l",france,,,,loire france,-0.979609,47.614699,france
taime,1890,"archer, j j",,,,,new york city,-74.005973,40.712775,united states of america
taime,1892,"archer, j j",,,,,ny city,-74.005973,40.712775,united states of america
taime,1902,"archer, j j",,,,,ny city,-74.005973,40.712775,united states of america
taime,1886,"archibald, c c",,,,gowrie mines,cow bay nova scotia,-63.43196,44.631514,canada
taime,1892,"archibald, c c",,,,,cow bay nova scotia,-63.43196,44.631514,canada
taime,1902,"archibald, c c",,,,,halifax nova scotia.,-63.575239,44.648764,canada
taime,1892,"archibald, j j",,,consulting engineer,,scranton pa,-75.662412,41.408969,united states of america
taime,1892,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1902,"archibald, j j",,,consulting engineer,,scranton pa,-75.662412,41.408969,united states of america
taime,1902,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1891,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1892,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1902,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1908,"archibald, j j",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1902,"archibald, m m",,,,,truro nova scotia.,-63.286941,45.365773,canada
taime,1911,"arehbald, h h",,,,,scranton pa,-75.662412,41.408969,united states of america
taime,1882,"arents, a a",,,,,west end cal,-117.522853,34.123532,united states of america
taime,1884,"arents, a a",,,,,hawthorne nev.,-118.624578,38.524644,united states of america
taime,1886,"arents, a a",,,,,west end cal,-117.522853,34.123532,united states of america
taime,1892,"arents, a a",,,,,alameda cal,-122.241636,37.765207,united states of america
taime,1902,"arents, a a",,,,,alameda cal,-122.241636,37.765207,united states of america
taime,1906,"arentz, u u",,,,,salt lake city utah,-111.891047,40.760779,united states of america
taime,1892,"argall, p p",,,,,denver colo,-104.990251,39.739236,united states of america
taime,1902,"argall, p p",,,,,denver colo,-104.990251,39.739236,united states of america
taime,1908,"arkell, h h",,,,,cape gracias nicaragua,-83.15,15,nicaragua
taime,1884,"arkins, c c",,,,,pottsville pa,-76.195499,40.685646,united states of america
taime,1902,"arlett, g g",,,mining engineer,,chihuahua mexico,-106.0691,28.632996,mexico
