org,org2,freq
blackwell sandison chrome mines limited,blackwell sandison chrome mines limited,27
gold fields syndicate and mining agency,gold fields syndicate and mining agency,27
ebbw vale steel lronyland col limited,ebbw vale steel lronyland col limited,27
illom and askam hematite iron limited,illom and askam hematite iron limited,27
randfontein south gold mining limited,randfontein south gold mining limited,27
durban navigation collieries limited,durban navigation collieries limited,27
and syndicate limited synge lacteal,and syndicate limited synge lacteal,27
ocean coal and wilsons limited ever,ocean coal and wilsons limited ever,27
steyn estate newlgold mines limited,steyn estate newlgold mines limited,27
new gold venture syndicate limited,new gold venture syndicate limited,27
sheepbridge coal companionably limited,sheepbridge coal companion limited,27
ivanhoe gold corporation limited roeg ivan hoe,ivanhoe gold corporation limited,27
rand nuc leus qold mining company,rand nucleus gold mining company,27
russo transubstantiation limited,russo transubstantiation limited,27
wassau gold coast mining company,wassau gold coast mining company,27
lochgelly iron and coal company,lochgelly iron and coal company,27
manvers main cqlvalie bries limited,manvers main collieries limited,27
new silkstone and mqor col limited,new silkstone and motor limited,27
bengal iron and steel company,bengal iron and steel company,27
amalgamated zing bay limited,amalgamated zing bay limited,27
sulphide corporation limited,sulphide corporation limited,27
bolckow vaughan and company,bolckow vaughan and company,27
nyassa consolidated limited,nyassa consolidated limited,27
pena copper mines limited dir,pena copper mines limited,27
bolsover coltjieryt company,bolsover collierycompany,27
springfield iron company,springfield iron company,27
new ravens wood limited,new ravens wood limited,27
wankie colliery company,wankie colliery company,27
national tube company,national tube company,27
mons cuprl whim ell limited,mons cupri limited,27
huanchaca company,huanchaca company,27
sub niger limited,sub niger limited,27
state geologist,state geologist,27
american exploration and development corporation limited,american exploration and development corporation limited,26
consolidated gold mines western australia limited,consolidated gold mines western australia limited,26
dominion trust emss donegal soapstone syndicate,dominion trust emss donegal soapstone syndicate,26
candelaria consolidated mexican mining company,candelaria consolidated mexican mining company,26
zinc corporation limited british broken hill,zinc corporation limited british broken hill,26
cinderella consqljdated gold mines limited,cinderella consolidated gold mines limited,26
negociacion minera de san rafael y anexas,negociacion minera de san rafael y anexas,26
south african real estate trusty limited,south african real estate trusty limited,26
barramia mining and exploration limited,barramia mining and exploration limited,26
stanley gold mines limited shea united,stanley gold mines limited shea united,26
vindicator cons g m co,vindicator consolidated mining company,26
scottish tonopah gold mining company,scottish tonopah gold mining company,26
north an antapur gold mines limited morriston dh,north an antapur gold mines limited,26
grootvlei prqj luminescent limited,grootvlei prqj luminescent limited,26
transvaal northern estates company,transvaal northern estates company,26
cam and motqr gold mining company,cam and motor gold mining company,26
copper range consolidated company,copper range consolidated company,26
powell tillery steam col limited,powell tillery steam col limited,26
mills day dawn untted god mines,mills day dawn united god mines,26
anaconda copper m co,anaconda copper mining company,26
new transvaal chemical company,new transvaal chemical company,26
merton metallurgical company,merton metallurgical company,26
new goch gold mines limited,new goch gold mines limited,26
seremban tin mining company,seremban tin mining company,26
van ryn west mining company,van ryn west mining company,26
vereeniging states limited,vereeniging states limited,26
duff develo pment company,duff develo pment company,26
general chemical company,general chemical company,26
new rand wpr dietary limited,new rand dietary limited,26
pen copper mines limited,pen copper mines limited,26
dolcoath mining company,dolcoath mining company,26
john rey mining company,john rey mining company,26
carnegie steel company,carnegie steel company,26
copiapo mining company,copiapo mining company,26
main collier limited,main colliery limited,26
kramat pulai limited pulai eh,kramat pulai limited,26
tyee copper company,tyee copper company,26
john brown accompany,john brown company,26
of civil engineering,,26
great western exploration and prospecting company,great western exploration and prospecting company,25
mozambique ore reduction and engineering company,mozambique ore reduction and engineering company,25
transvaal exploring land and minerals company,transvaal exploring land and minerals company,25
china clay exploration syndicate limited,china clay exploration syndicate limited,25
davis sons transvaal exploration limited,davis sons transvaal exploration limited,25
new centenillo silver lead mines company,new centenillo silver lead mines company,25
rhodesia broken hill development company,rhodesia broken hill development company,25
aurora westttnited gold mining limited,aurora westttnited gold mining limited,25
nantyglo and blaina irony works limited,nantyglo and blaina iron works limited,25
phillips river gqlqw copernican limited,phillips river gold copernican limited,25
bede metal and petrochemical limited,bede metal and petrochemical limited,25
corocoro united copper mines limited,corocoro united copper mines limited,25
