"","id","year","company","capital","office","yearg","situated","mine","loc","text","lastname","firstname","middlename","prof"
"147","myb409639",1910,"WEST AFRICA LIMITED",NA,NA,NA,NA,NA,"siberia","Liberia, British, French and Belgian Colonies.",NA,NA,NA,NA
"148","myb409750",1910,"NEW EASTERN INVESTMENT COMPANY LIMITED",NA,NA,NA,NA,NA,"johannesburg","17,859 South Prenoh Band ; 27,438 Brakpan Mines and 2,150 Premier Transvaal",NA,NA,NA,NA
"149","myb410885",1910,"NEW STBTN ESTATE GOLD",1313230,NA,NA,NA,NA,"johannesburg","The authorised capital is £270,000, in 270,000 shares of £1 each ; 260,000",NA,NA,NA,NA
"150","myb414135",1910,"RHODESIAN PROPERTIES LIMITED",NA,NA,NA,NA,NA,"transvaal","This company wasregistered in the Transvaal July 12th, 1903, and was reconstructed",NA,NA,NA,NA
"151","myb415628",1910,"SIMMER DEEP LTD",NA,NA,NA,NA,NA,"johannesburg","Secretaries and Offices The Witwatersrand Township, Estate and Finance Corp.. Ltd.,",NA,NA,NA,NA
"152","myb417821",1910,"TRANSVAAL ANCDOMDPAENLYA GLOIMAITEDB AY INVESTMENT",NA,NA,NA,NA,NA,"london","1908- 9, 10 per cent. November, 19u9.",NA,NA,NA,NA
"153","myb420425",1910,"WEST COAST CONSOLS LIMITED",NA,NA,NA,NA,NA,"transvaal","are issued and fully paid. The capital, originally £200,000 in £4 shares, was",NA,NA,NA,NA
"154","myb420635",1910,"WESTERN RAND ESTATES LTD",NA,NA,NA,NA,NA,"western","produced gold value £91.814, or 29s. 8d. per ton ; costs 29s. 2d. per ton. The",NA,NA,NA,NA
"155","myb424222",1910,"BLAEN HIRWAIN COLLIERY COMPANYI LIMITED",NA,NA,NA,NA,NA,"station road port talbot","Transfer form, common ; fee, 2s. 6d.",NA,NA,NA,NA
"156","myb424810",1910,"BRAZILIAN DEVELOPMENT",NA,NA,NA,NA,NA,"brazil","Besident Engineer R. 8. Botstord, M.I.M.M., Lavras, Rio Grande do Sol, Brazil.","botsford","besident",NA,"engineer"
"157","myb424810",1910,"BRAZILIAN DEVELOPMENT",NA,NA,NA,NA,NA,"brazil","Besident Engineer R. 8. Botstord, M.I.M.M., Lavras, Rio Grande do Sol, Brazil.","botsford","robert","simpson","engineer"
"158","myb430802",1910,"ANACONDA COPPER MINING CO",NA,NA,NA,NA,NA,"wales","ENGLISH AND FORfcIGN SYNDICATE. LIMITED.",NA,NA,NA,NA
"159","myb432893",1910,"GUBBAY AND COMPANY LIMITED",NA,NA,NA,NA,NA,"near dowlais and at abercynon","The businesses of the Dowlais Iron Co. and Guest",NA,NA,NA,NA
"160","myb434672",1910,"J AND J CHARLESWORTH LIMITED",NA,NA,NA,NA,NA,"london","consideration was £34,870 in fully paid shares.",NA,NA,NA,NA
"161","myb435777",1910,"LIBIOLA COPPER MINING COMPANY LIMITED",NA,NA,NA,NA,NA,"italy","Italy, near the port of Sestri Levante. The consideration was £252,000 in cash.",NA,NA,NA,NA
"162","myb436288",1910,"M F H SYNDICATE LIMITED",NA,NA,NA,NA,NA,"cardiff","and 0. Michael, the 8an Sixto and Sixto Oeste lead mines, also other mines, all",NA,NA,NA,NA
