"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime77786","professional","taime",1884,"mccguffin","j",NA,"mccguffin, j",NA,NA,"sewell depot c o ry va",-78.65689,37.43157,"united states of america",NA,NA,"mccguffin",NA,NA,78851,NA
"aime77823","professional","taime",1884,"mcclellan","a",NA,"mcclellan, a",NA,NA,"drifton pa",-75.90548,40.99981,"united states of america",NA,NA,"mcclellan",NA,NA,78851,NA
"aime77885","professional","taime",1884,"mcclure","r",NA,"mcclure, r",NA,"C B Q Ry","chicago ill",-87.6298,41.87811,"united states of america",NA,NA,"mcclure",NA,NA,7,NA
"aime77919","professional","taime",1884,"mccomp","a",NA,"mccomp, a",NA,NA,"frankford philadelphia",-75.08372,40.01675,"united states of america",NA,NA,"mccomp",NA,NA,78851,NA
"aime78010","professional","taime",1884,"mccormick","h",NA,"mccormick, h","student",NA,"harrisburg pa",-76.8867,40.27319,"united states of america",NA,NA,"mccormick",NA,NA,78851,NA
"aime78079","professional","taime",1884,"mccreath","a",NA,"mccreath, a",NA,NA,"harrisburg pa",-76.8867,40.27319,"united states of america",NA,NA,"mccreath",NA,NA,78851,NA
"aime78162","professional","taime",1884,"mccurion","e",NA,"mccurion, e",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"mccurion",NA,NA,78851,NA
"aime78181","professional","taime",1884,"mcdermorrt","w",NA,"mcdermorrt, w",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"mcdermorrt",NA,NA,78851,NA
"aime78411","professional","taime",1884,"mcdowell","f",NA,"mcdowell, f","mining eng",NA,"new york city",-74.00597,40.71278,NA,NA,NA,"mcdowell",NA,NA,78851,NA
"aime78432","professional","taime",1884,"mcdowent","j",NA,"mcdowent, j",NA,NA,"st louis mo",-90.1994,38.627,"united states of america",NA,NA,"mcdowent",NA,NA,78851,NA
"aime78436","professional","taime",1884,"mcduerson","g",NA,"mcduerson, g",NA,"Wednesbury Oak Iron Works","tipton staffordshire",-2.066058,52.52625,"united kingdom",NA,NA,"mcduerson",NA,NA,7,NA
"aime78506","professional","taime",1884,"mcfadyen","j",NA,"mcfadyen, j",NA,NA,"johnstown pa",-78.92197,40.32674,"united states of america",NA,NA,"mcfadyen",NA,NA,78851,NA
"aime78585","professional","taime",1884,"mcginness","m",NA,"mcginness, m",NA,NA,"st louis mo",-90.1994,38.627,"united states of america",NA,NA,"mcginness",NA,NA,78851,NA
