"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"9088","myb88655","myb",1889,"TION COMPANY LIMITED",NA,"cotton","joseph","william","board","buchanan","Major Joseph William M. Cotton. I Victor William Chemery. I Archibald Fairlie, C E.","cotton, j w",NA,"myb",c(-95.712891, 37.09024)
"9089","myb88655","myb",1889,"TION COMPANY LIMITED",NA,"fairlie","archibald",NA,"board","buchanan","Major Joseph William M. Cotton. I Victor William Chemery. I Archibald Fairlie, C E.","fairlie, a",NA,"myb",c(-95.712891, 37.09024)
"9090","myb88656","myb",1889,"TION COMPANY LIMITED",NA,"buch","carl","theodore","board","buchanan","Carl Theodore Von Buch. | Reginald Byiird Buchanan Clayton | John 8. Sawrey.","buch, c t",NA,"myb",c(-95.712891, 37.09024)
"9091","myb88656","myb",1889,"TION COMPANY LIMITED",NA,"clayton","reginald","byiird","board","buchanan","Carl Theodore Von Buch. | Reginald Byiird Buchanan Clayton | John 8. Sawrey.","clayton, r b",NA,"myb",c(-95.712891, 37.09024)
"9092","myb88656","myb",1889,"TION COMPANY LIMITED",NA,"sawrey","john",NA,"board","buchanan","Carl Theodore Von Buch. | Reginald Byiird Buchanan Clayton | John 8. Sawrey.","sawrey, j",NA,"myb",c(-95.712891, 37.09024)
"9334","myb89652","myb",1889,"ROBINSON GOLD MINING COMPANY LIMITED",NA,"donald","j","m","board","johannesburg","Joseph Benjamin Robinson, fluiirma . Hermann Eckstein. I Maurice Marcus J. B. Taylor. | J. M. Donald, Manag S Director.","donald, j m",NA,"myb",c(28.0473051, -26.2041028)
"9335","myb89652","myb",1889,"ROBINSON GOLD MINING COMPANY LIMITED",NA,"robinson","joseph","benjamin","board","johannesburg","Joseph Benjamin Robinson, fluiirma . Hermann Eckstein. I Maurice Marcus J. B. Taylor. | J. M. Donald, Manag S Director.","robinson, j b",NA,"myb",c(28.0473051, -26.2041028)
"9666","myb91062","myb",1889,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"fell","henry",NA,"board","stanhope","Henry Bale. 1 Svdnev Ford. | Henry Fell, M.L.C. I Joseph Watson Shaw.","fell, h",NA,"myb",c(-78.6766374, 35.7893925)
"9667","myb91062","myb",1889,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"ford","henry","bale","board","stanhope","Henry Bale. 1 Svdnev Ford. | Henry Fell, M.L.C. I Joseph Watson Shaw.","ford, h b",NA,"myb",c(-78.6766374, 35.7893925)
"9668","myb91062","myb",1889,"STANHOPE GOLD MINING COMPANY LIMITED",NA,"shaw","joseph","watson","board","stanhope","Henry Bale. 1 Svdnev Ford. | Henry Fell, M.L.C. I Joseph Watson Shaw.","shaw, j w",NA,"myb",c(-78.6766374, 35.7893925)
