loc,lat,lon,country,n,d
Chaves,-0.16,-49.9878,Brazil,2,NA
Chelmsford,51.73,0.48,United Kingdom,2,1
Chelmsford,42.6,-71.3631,United States,2,1
Cheltenham,51.9,-2.0667,United Kingdom,2,1
Cheltenham,40.0781,-75.1382,United States,2,1
Cheran,19.6833,-101.95,Mexico,2,NA
Cheran,25.361,85.5421,India,2,NA
Chester,53.19,-2.89,United Kingdom,3,1
Chester,39.8456,-75.3718,United States,3,1
Chester,44.65,-64.3,Canada,3,1
Chesterfield,38.6589,-90.5803,United States,2,1
Chesterfield,53.2358,-1.4275,United Kingdom,2,1
Chino,33.9836,-117.6654,United States,2,1
Chino,35.9955,138.1588,Japan,2,1
Chita,52.0333,113.5,Russia,3,NA
Chita,35,136.8667,Japan,3,NA
Chita,6.1667,-72.4167,Colombia,3,NA
Christchurch,-43.531,172.6365,New Zealand,2,NA
Christchurch,50.73,-1.78,United Kingdom,2,NA
Chuy,-33.6964,-53.46,Uruguay,2,NA
Chuy,42.81,75.28,Kyrgyzstan,2,NA
Ciudad Bolivar,8.1219,-63.55,Venezuela,2,NA
Ciudad Bolivar,5.85,-76.0333,Colombia,2,NA
Clayton,53.782,-1.8135,United Kingdom,2,1
Clayton,38.6444,-90.3303,United States,2,1
Clermont,28.5325,-81.7208,United States,2,1
Clermont,49.3789,2.4125,France,2,1
Clifton,40.863,-74.1575,United States,2,1
Clifton,52.904,-1.177,United Kingdom,2,1
Coatepeque,14.7,-91.8667,Guatemala,2,NA
Coatepeque,13.9167,-89.5,El Salvador,2,NA
Cochrane,51.189,-114.467,Canada,2,NA
Cochrane,-47.2547,-72.575,Chile,2,NA
Colchester,51.8917,0.903,United Kingdom,2,1
Colchester,44.5545,-73.2168,United States,2,1
Colina,-33.2017,-70.6703,Chile,2,NA
Colina,-20.7136,-48.5411,Brazil,2,NA
Colombo,6.9344,79.8428,Sri Lanka,2,NA
Colombo,-25.2919,-49.2239,Brazil,2,NA
Colon,9.3572,-79.8986,Panama,6,NA
Colon,13.7167,-89.3667,El Salvador,6,NA
Colon,22.7225,-80.9067,Cuba,6,NA
Colon,8.0378,-72.2519,Venezuela,6,NA
Colon,-33.8833,-61.1,Argentina,6,NA
Colon,9.9096,-84.262,Costa Rica,6,NA
Colonia,9.5167,138.1333,Federated States of Micronesia,2,1
Colonia,40.5926,-74.3148,United States,2,1
Comalapa,15.6602,-92.1411,Mexico,2,NA
Comalapa,12.2842,-85.5106,Nicaragua,2,NA
Comapa,14.1114,-89.7497,Guatemala,2,NA
Comapa,19.1667,-96.8666,Mexico,2,NA
Compostela,7.6667,126.0833,Philippines,2,NA
Compostela,21.2389,-104.9,Mexico,2,NA
Concepcion,-36.8282,-73.0514,Chile,5,NA
Concepcion,15.3249,120.6554,Philippines,5,NA
Concepcion,-23.4,-57.43,Paraguay,5,NA
Concepcion,-27.3333,-65.5833,Argentina,5,NA
Concepcion,-11.9185,-75.3129,Peru,5,NA
Concordia,-31.4,-58.0333,Argentina,3,NA
Concordia,-27.2339,-52.0278,Brazil,3,NA
Concordia,6.049,-75.909,Colombia,3,NA
Cordoba,-31.4167,-64.1833,Argentina,4,NA
Cordoba,37.8845,-4.7796,Spain,4,NA
Cordoba,18.8942,-96.9347,Mexico,4,NA
Cordoba,0.855,-77.5211,Colombia,4,NA
Corinto,3.1739,-76.2594,Colombia,4,NA
Corinto,-18.3808,-44.4558,Brazil,4,NA
Corinto,12.4819,-87.1742,Nicaragua,4,NA
Corinto,13.8167,-87.9667,El Salvador,4,NA
Cornwall,45.0275,-74.74,Canada,2,1
Cornwall,41.4195,-74.054,United States,2,1
Corozal,18.4,-88.4,Belize,3,NA
Corozal,9.3333,-75.25,Colombia,3,NA
Corozal,18.341,-66.3124,Puerto Rico,3,NA
Cortes,9.7167,123.8833,Philippines,2,NA
Cortes,-8.47,-35.5436,Brazil,2,NA
Costesti,46.8678,28.7689,Moldova,2,NA
Costesti,44.6697,24.88,Romania,2,NA
Coventry,52.4081,-1.5106,United Kingdom,2,1
Coventry,41.6934,-71.6611,United States,2,1
Croydon,51.3727,-0.1099,United Kingdom,2,1
Croydon,40.0911,-74.8975,United States,2,1
Cuenca,-2.8974,-79.0045,Ecuador,3,NA
Cuenca,40.0667,-2.15,Spain,3,NA
Cuenca,13.9167,121.05,Philippines,3,NA
Dacun,34.7201,109.0549,China,2,NA
Dacun,23.9911,120.5394,Taiwan,2,NA
Dala,-11.0342,20.2036,Angola,2,NA
Dala,30.7773,75.2494,India,2,NA
Dali,25.6808,100.3003,China,2,NA
Dali,35.0211,33.42,Cyprus,2,NA
Damascus,33.5131,36.2919,Syria,2,1
Damascus,39.2701,-77.1957,United States,2,1
Damme,52.5208,8.1986,Germany,2,NA
Damme,51.25,3.2833,Belgium,2,NA
Dara,15.35,-15.6,Senegal,2,NA
Dara,26.1546,86.4483,India,2,NA
Darien,41.7448,-87.9822,United States,2,1
Darien,3.9167,-76.6667,Colombia,2,1
Dehqonobod,37.6333,69.45,Tajikistan,2,NA
Dehqonobod,40.5314,69.0342,Uzbekistan,2,NA
Delhi,28.61,77.23,India,2,1
Delhi,37.4306,-120.7759,United States,2,1
Delta,49.0847,-123.0586,Canada,2,1
Delta,38.756,-108.0772,United States,2,1
Denton,33.2175,-97.1418,United States,2,1
Denton,53.4554,-2.1122,United Kingdom,2,1
Derby,52.9217,-1.4767,United Kingdom,2,1
Derby,39.84,-104.9172,United States,2,1
Derry,54.9917,-7.3417,United Kingdom,2,1
Derry,42.8888,-71.2804,United States,2,1
Deurne,51.2247,4.4625,Belgium,2,NA
Deurne,51.4667,5.8,Netherlands,2,NA
Dhaka,23.7639,90.3889,Bangladesh,2,NA
Dhaka,26.72,85.33,India,2,NA
Dieppe,46.0989,-64.7242,Canada,2,NA
Dieppe,49.92,1.08,France,2,NA
Dimitrovgrad,54.1833,49.5833,Russia,3,NA
Dimitrovgrad,43.0167,22.7833,Serbia,3,NA
Dimitrovgrad,42.05,25.6,Bulgaria,3,NA
