lon,lat,locn
-96.7969879,32.7766642,"Dallas County, Texas, United States"
-75.165222,39.952584,"Philadelphia, Pennsylvania United States"
-114.3836,35.02639,"Mohave County, Arizona, United States"
13.404954,52.5200066,"Berlin, Deutschland"
135.67478500000001,35.023322,"京都府, 日本"
-3.5846869,54.5482671,"Cumberland, England, United Kingdom"
-111.0937311,34.0489281,"Gila County, Arizona, United States"
2.352222,48.85661,"Paris, Île-de-France, France métropolitaine, France"
2.3522219,48.856614,"Paris, Île-de-France, France métropolitaine, France"
-95.61644,37.03284,"Montgomery County, Kansas, United States"
-95.6164438,37.0328377,"Montgomery County, Kansas, United States"
-3.1941489,55.9540589,"City of Edinburgh, Alba / Scotland, United Kingdom"
-71.0646429,42.3812561,"Suffolk County, Massachusetts, United States"
121.3308,-28.885,"Shire Of Leonora, Western Australia, Australia"
-79.576007,44.111527,"Simcoe County, Central Ontario, Ontario, Canada"
-0.0810585,51.5168,"City of London, Greater London, England, United Kingdom"
-75.11798,39.9934,"Philadelphia, Pennsylvania United States"
-111.04763,45.667809,"Gallatin County, Montana, United States"
-76.0208162,44.0142141,"Jefferson County, New York, United States"
-90.5509715,37.9221208,"St. Francois County, Missouri, United States"
-91.1209554,37.5746189,"Reynolds County, Missouri, United States"
-90.5554039,37.9231069,"St. Francois County, Missouri, United States"
-90.531236,37.848385,"St. Francois County, Missouri, United States"
-0.1020788,51.5121217,"City of London, Greater London, England, United Kingdom"
-71.992287,42.243968,"Worcester County, Massachusetts, United States"
-84.3879824,33.7489954,"Fulton County, Georgia, United States"
-106.4213208,31.812438,"El Paso County, Texas, United States"
-81.5157535,27.6648274,"Polk County, Florida, United States"
-75.1629657,39.9503975,"Philadelphia, Pennsylvania United States"
-75.1601989,39.9680052,"Philadelphia, Pennsylvania United States"
-75.1652215,39.9525839,"Philadelphia, Pennsylvania United States"
-76.3092607,40.0421088,"Lancaster County, Pennsylvania, United States"
-75.2747937,40.1060025,"Montgomery County, Pennsylvania, United States"
-96.0627406,41.1769243,"Sarpy County, Nebraska, United States"
-95.6390221,37.057223,"Montgomery County, Kansas, United States"
-73.7512272,40.5986482,"Queens County, City of New York, New York, United States"
-92.100485,46.786672,"Saint Louis County, Minnesota, United States"
-83.2875009,42.6365272,"Oakland County, Michigan, United States"
-94.6858998,46.729553,"Cass County, Minnesota, United States"
-71.9922867,42.2439682,"Worcester County, Massachusetts, United States"
