org,company,og_id
Moodie Gold Mining And Exploration,Moodie Gold Mining And Exploration,434
United Copper Mines Ibarra Limited,United Copper Mines Ibarra Limited,435
Roebourne Finance Investment Limited,Roebourne Finance Investment Limited,436
San Jose Mining Company,San Jose Mining Company,437
Havana Exploration Company,Havana Exploration Company,438
Buffalo Mines Limited,Buffalo Mines Limited,439
Park Tin Mines Limited,Park Tin Mines Limited,440
Taquah Central Mines Limited,Taquah Central Mines Limited,441
Sonora Mexican Silver Mines Limited,Sonora Mexican Silver Mines Limited,442
Malacca Diamond Mines Limited,Malacca Diamond Mines Limited,443
Anglo Russtan Platinum Mining Limited,Anglo Russtan Platinum Mining Limited,444
Boschoek Proprletary Company,Boschoek Proprletary Company,445
Jacoletti Gold Mines Limited,Jacoletti Gold Mines Limited,446
Malayan Tin Dredging Limited,Malayan Tin Dredging Limited,447
Bosc Hoek Proprietary Company,Bosc Hoek Proprietary Company,448
Lely Gold Exploration Company,Lely Gold Exploration Company,449
Right Way Mines Limited,Right Way Mines Limited,450
Brazilian Securities Limited Bre Valley,Brazilian Securities Limited Bre Valley,451
South Group Gold Mines Syndicate,South Group Gold Mines Syndicate,452
African British Columbia Corporation,African British Columbia Corporation,453
Gwyn Mines Merioneth Limited,Gwyn Mines Merioneth Limited,454
Linthorpe Dinsdaiite Smelting Limited,Linthorpe Dinsdaiite Smelting Limited,455
Royal Consolidated Mines California Company,Royal Consolidated Mines California Company,456
Boulder Exploration Syndicate Ltd,Boulder Exploration Syndicate Ltd,457
New Transvaal Chemical Company,New Transvaal Chemical Company,458
Cardiff Steam Coal Collieries Limited,Cardiff Steam Coal Collieries Limited,459
Lisburne Development Syndicate Limited,Lisburne Development Syndicate Limited,460
Kamunlng Peak Rubber And Tin,Kamunlng Peak Rubber And Tin,461
Measham Collieries Limited,Measham Collieries Limited,462
Central Wassau Gold Mines Limited,Central Wassau Gold Mines Limited,463
Campiglia Estates Mining Limited,Campiglia Estates Mining Limited,464
Kolken Syndicate Limited,Kolken Syndicate Limited,465
Austell China Clay Works Limited,Austell China Clay Works Limited,466
Kramat Pulai Limited,Kramat Pulai Limited,467
Sungel Best Mines Limited,Sungel Best Mines Limited,468
Westport Stocktotn Coal Limited,Westport Stocktotn Coal Limited,469
Esperanza Coppwerqand Sulphur Limited,Esperanza Coppwerqand Sulphur Limited,470
Sierra Morena Mining Company,Sierra Morena Mining Company,471
Anglo Mexican Venture Syndicate Limited,Anglo Mexican Venture Syndicate Limited,472
Bluegum Diamond Estate And Exploration,Bluegum Diamond Estate And Exploration,473
Lyndhurst South Australia Copper Limited,Lyndhurst South Australia Copper Limited,474
Moonta Central Copper Company,Moonta Central Copper Company,475
Manganese And Iron Syndicate Limited,Manganese And Iron Syndicate Limited,476
